Id,Use Case,Use Case_ENC,Status,Created Date,Close Date,Price,Discount code,Pain,Pain_ENC,Loss Reason,Loss Reason_ENC,First Name,Source,Source_ENC,Status_leads,Status_leads_ENC,Discarded/Nurturing Reason,Discarded/Nurturing Reason_ENC,Acquisition Campaign,Converted,Converted_ENC,City,City_ENC,Has discount,Has discount_ENC,Days in process
doqyhjtv,Educational Seminars,2.0,Closed Won,2019-11-17,2019-11-17,300.0,SAVEMORE50,operations,1.0,,4.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,True,1.0,0.0
,Sports Events,3.0,Closed Lost,2019-11-24,2019-11-25,150.0,,operations,1.0,price,7.0,,,0.0,,4.0,,1.0,,,1.0,,1.0,False,0.0,1.0
,Sports Events,3.0,Closed Lost,2019-11-24,2019-11-25,768.0,HALFYEAR20G,operations,1.0,no response,4.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,True,1.0,1.0
cturqi48,Corporate Events,1.0,Closed Won,2019-05-07,2019-05-07,240.0,DISCOUNT50POWER,financial control,0.0,,4.0,Taylor18 Wilson3,Inbound,0.0,Qualified,4.0,,5.0,VirtualMeetups,Yes,1.0,San Diego,15.0,True,1.0,0.0
,Sports Events,3.0,Closed Lost,2019-11-17,2019-11-25,240.0,SAVEMONTH50G,financial control,0.0,no response,4.0,,,0.0,,4.0,,5.0,,,1.0,,3.0,True,1.0,8.0
,Corporate Events,1.0,Closed Lost,2019-11-19,2019-11-20,360.0,MONTHSAVE25DEAL,financial control,0.0,price,7.0,,,0.0,,4.0,,0.0,,,1.0,,17.0,True,1.0,1.0
9pl1etry,Corporate Events,1.0,Closed Won,2019-12-18,2019-12-18,768.0,2SEMESTERS20OFF,operations,1.0,,4.0,Morgan12 Martin1,Inbound,0.0,Qualified,4.0,,5.0,,Yes,1.0,,2.0,True,1.0,0.0
7tkbogep,Corporate Events,1.0,Closed Won,2019-11-18,2019-11-18,300.0,MONTH50CUTBACK,operations,1.0,,4.0,Alex17 Robinson5,Outbound,1.0,Qualified,4.0,,4.0,VirtualMeetups,Yes,1.0,,2.0,True,1.0,0.0
locj094j,Corporate Events,1.0,Closed Won,2019-11-18,2019-11-19,300.0,MONTH50CUTBACK,quality of delivery,2.0,,4.0,Bailey12 Moore1,Outbound,1.0,Qualified,4.0,,2.0,,Yes,1.0,Seattle,18.0,True,1.0,1.0
,Corporate Events,1.0,Closed Lost,2019-11-18,2019-11-25,1344.0,YEARLY30PROMO,operations,1.0,lost to competitor,0.0,,,0.0,,4.0,,6.0,,,1.0,,14.0,True,1.0,7.0
5eksx79k,Sports Events,3.0,Closed Won,2019-11-20,2019-11-20,120.0,HALFYEAR20G,financial control,0.0,,0.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,True,1.0,0.0
,Educational Seminars,2.0,Demo 1,2019-07-07,2020-01-26,768.0,HALFYEAR20G,operations,1.0,,4.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,True,1.0,203.0
0xm8ezpj,Educational Seminars,2.0,Closed Won,2019-12-08,2019-12-09,1344.0,ANNUAL30BONUS,financial control,0.0,,4.0,,,0.0,,4.0,,5.0,,,1.0,,16.0,True,1.0,1.0
xb6toen7,Educational Seminars,2.0,Closed Lost,2019-12-10,2019-12-16,1344.0,ANNUAL30BONUS,financial control,0.0,no product fit,3.0,Rowan7 Jones9,Outbound,1.0,Qualified,4.0,,2.0,Stu Campaign,Yes,1.0,San Diego,15.0,True,1.0,6.0
lx9pv613,Educational Seminars,2.0,Closed Won,2019-12-15,2019-12-18,960.0,YEARLY60,operations,1.0,,4.0,Drew15 Taylor13,Inbound,0.0,Qualified,4.0,,5.0,,Yes,1.0,,2.0,True,1.0,3.0
iua7p276,Educational Seminars,2.0,Closed Won,2019-08-06,2019-12-16,300.0,SAVEMORE50,operations,1.0,,4.0,,,0.0,,4.0,,5.0,,,1.0,,2.0,True,1.0,132.0
